id,salary,languageworkedwith
54,"2,00E+06",Python;Rust;SQL;HTML;CSS;Bash/Shell
55,"2,00E+06",Java;JavaScript;SQL;HTML;CSS
56,"2,00E+06",C#;Java;JavaScript;SQL;HTML;CSS;Bash/Shell
57,"2,00E+06",JavaScript;Perl;SQL;HTML;Bash/Shell
58,"2,00E+06",C#;JavaScript;Python;SQL;TypeScript;HTML;CSS;Bash/Shell
59,"2,00E+06",Java;Ruby;Bash/Shell
60,"2,00E+06",C;Go;JavaScript;PHP;Python;HTML;CSS
61,"2,00E+06",Java;JavaScript;Objective-C;Perl;PHP;Python;SQL;Swift;Kotlin;HTML;CSS;Bash/Shell
62,"2,00E+06",C;C++;Java;Perl;Python;SQL;Bash/Shell
63,"2,00E+06",JavaScript;Python;SQL;HTML;CSS;Bash/Shell
64,"2,00E+06",C;C++;Java;JavaScript;Matlab;Python;Scala;SQL;HTML;CSS;Bash/Shell
65,"2,00E+06",C#;JavaScript;SQL;Swift;HTML;CSS;Bash/Shell
66,"2,00E+06",C#;Java;JavaScript;SQL;TypeScript
67,"2,00E+06",C#;JavaScript;SQL;TypeScript;HTML;CSS
68,"2,00E+06",Java;JavaScript;SQL;HTML;CSS
69,"2,00E+06",C#;Go;Groovy;Java;JavaScript;Python;Ruby;Scala;SQL;HTML;CSS;Bash/Shell
70,"2,00E+06",C#;JavaScript;Objective-C;PHP;SQL;Swift;HTML;CSS
71,"2,00E+06",Java;SQL;Bash/Shell
72,"2,00E+06",C#;Java;JavaScript;R;SQL;TypeScript;HTML;CSS
73,"2,00E+06",JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell
74,"2,00E+06",JavaScript;Ruby;SQL;HTML;CSS;Bash/Shell
75,"2,00E+06",C#;Java;JavaScript;SQL;VB.NET;HTML;CSS
76,1980000,Assembly;Java;JavaScript;Objective-C;PHP;Rust;TypeScript;HTML;CSS
77,1920000,Java;JavaScript;Python;HTML;CSS;Bash/Shell
78,1920000,Java;JavaScript;Python;Ruby
79,1920000,JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell
80,1920000,C#;JavaScript;SQL;HTML;CSS
81,1920000,Go;Java;JavaScript;Python;Ruby;Rust;SQL;HTML;CSS;Bash/Shell
82,1920000,JavaScript;TypeScript;HTML;CSS
83,1908000,C++;Matlab;Python;HTML;CSS;Bash/Shell
84,1884000,C#;Java;R;SQL
85,1860000,C++;JavaScript;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell
86,1850000,Go;JavaScript;HTML;CSS;Bash/Shell
87,1800000,Assembly;Objective-C;Python
88,1800000,JavaScript;Perl;PHP;Python;SQL;HTML;CSS;Bash/Shell
89,1800000,C++;C#;JavaScript;R;SQL;TypeScript;Ocaml;HTML;CSS
90,1800000,C++;Java;JavaScript;PHP;Python;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell
91,1800000,Go;JavaScript;HTML;CSS
92,1800000,C++;C#;Haskell;Java;Python;Ruby;Rust;SQL;HTML;CSS
93,1800000,C;C++;C#;Java;JavaScript;Python;R;HTML;CSS;Bash/Shell
94,1800000,SQL;Cobol
95,1800000,C#
96,1800000,JavaScript;Ruby;SQL;HTML;CSS;Bash/Shell
97,1800000,JavaScript;SQL;HTML;Bash/Shell
98,1800000,C;C++;Java;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell
99,1764000,C#;JavaScript;Swift;TypeScript;HTML;CSS;Bash/Shell
100,145000,C;C++;C#;Go;SQL;Bash/Shell
101,145000,C#;JavaScript;SQL;TypeScript;HTML;CSS
102,145000,C++;JavaScript;Python;Scala;SQL;HTML;Bash/Shell
103,145000,JavaScript;PHP;HTML;CSS
104,145000,C#;JavaScript;SQL;HTML;CSS
105,145000,JavaScript;Delphi/Object Pascal
106,145000,C#;JavaScript;Lua;PHP;HTML;CSS
107,145000,Objective-C;Swift
108,145000,Java;JavaScript;Ruby;SQL;Swift;Kotlin;HTML;CSS
109,145000,C;Go;JavaScript;Python;SQL;HTML;CSS;Bash/Shell
110,145000,C;C++;C#;JavaScript;Python;SQL;HTML;CSS;Bash/Shell
111,145000,SQL;Bash/Shell
112,145000,Go;JavaScript;Perl;PHP;SQL;HTML;CSS;Bash/Shell
113,145000,Java;JavaScript;Ruby;Scala;SQL;HTML;CSS
114,145000,Erlang;JavaScript;Python;R;SQL;HTML;CSS;Bash/Shell
115,145000,Assembly;C;C++;Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell
116,145000,C++;C#;F#;JavaScript;SQL;TypeScript;HTML;CSS
117,145000,Groovy;Java;JavaScript;Julia;Python;R;SQL;TypeScript;HTML;CSS;Bash/Shell
118,145000,C++;C#;Java;JavaScript;Objective-C;Swift;HTML;CSS
119,145000,Groovy;Java;JavaScript;Ruby;SQL;HTML;CSS;Bash/Shell
120,145000,Assembly;C;C++;C#;JavaScript;Python;SQL;HTML;Bash/Shell
121,145000,C#;JavaScript;Python
122,145000,Haskell;Java;JavaScript;Python;Scala;SQL;Bash/Shell
123,145000,Java;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell
124,145000,Java;JavaScript;SQL;Kotlin;HTML;CSS
125,145000,C#;JavaScript;SQL;TypeScript;VB.NET;HTML;CSS
126,145000,Clojure;Java;JavaScript
127,145000,Groovy;Java;JavaScript;Python;Ruby;SQL;HTML;CSS;Bash/Shell
128,145000,Python;SQL;Bash/Shell
129,145000,Erlang;JavaScript;Ruby;SQL;HTML;CSS;Bash/Shell
130,145000,C#;JavaScript;SQL;TypeScript;HTML;CSS
131,145000,Java;JavaScript;SQL
132,145000,CoffeeScript;Java;JavaScript;Python;SQL;HTML;CSS
133,145000,Java;JavaScript;HTML
134,145000,CoffeeScript;Java;JavaScript;Python;Ruby;SQL;Swift;Bash/Shell
135,145000,Java;JavaScript;Python;Rust;SQL;Kotlin;HTML;CSS;Bash/Shell
136,145000,C;C++;C#;F#;JavaScript;Rust;SQL;TypeScript;HTML;CSS;Bash/Shell
137,145000,Groovy;Java;SQL;HTML
138,145000,JavaScript;TypeScript;HTML;CSS;Bash/Shell
139,145000,Clojure;Ruby;SQL;HTML;CSS;Bash/Shell
140,145000,JavaScript;Python
141,145000,CoffeeScript;Erlang;Java;JavaScript;Objective-C;Ruby;Rust;SQL;TypeScript;HTML;CSS
142,144938,Java;JavaScript;Python;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell
143,144938,Objective-C;Ruby;SQL;Swift;Bash/Shell
144,144938,C;C++;Java;JavaScript;Objective-C;PHP;Python;SQL;Swift;HTML;CSS;Bash/Shell
145,144938,C#;F#;Java;JavaScript;Perl;Scala;TypeScript;HTML;CSS;Bash/Shell
146,144792,Java;SQL;Bash/Shell
147,144580,JavaScript;Objective-C;Python;Swift;HTML;CSS
148,144500,C#;CoffeeScript;Go;Groovy;Java;JavaScript;Objective-C;Python;R;Ruby;Scala;SQL;Swift;Kotlin;HTML;CSS;Bash/Shell
149,144500,C#;Go;JavaScript;SQL;TypeScript;HTML;CSS
150,144400,Java;JavaScript;Objective-C;PHP;Python;Ruby;SQL;Swift;HTML;CSS;Bash/Shell
151,144276,C;C++;JavaScript;Objective-C;PHP;SQL;Swift;Visual Basic 6;HTML;CSS
152,144200,C#;SQL;HTML;Bash/Shell
153,144100,C#;JavaScript;Python;SQL;TypeScript;HTML;CSS;Bash/Shell
154,144000,C;C++;Java;JavaScript;Matlab;Perl;Python;Swift;HTML;CSS;Bash/Shell
155,144000,Go;Java;Python;Ruby;Bash/Shell
156,144000,Go;Ruby;Bash/Shell
157,144000,JavaScript;SQL;HTML;CSS;Bash/Shell
158,144000,C#
159,144000,C;C++;JavaScript
160,144000,C#;JavaScript;SQL;TypeScript;HTML;CSS
161,144000,C#;JavaScript
162,144000,C#;JavaScript;PHP;SQL;TypeScript;HTML;CSS;Bash/Shell
163,144000,Haskell;JavaScript;PHP;Rust;SQL
164,144000,C#;Haskell;Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell
165,144000,Python;Bash/Shell
166,144000,C#;Java;JavaScript;Matlab;HTML;CSS;Bash/Shell
167,144000,C#;JavaScript;PHP;HTML;CSS
168,144000,C#;Java;Objective-C;Python;Ruby;SQL;Swift;VB.NET;Visual Basic 6;Cobol;Bash/Shell
169,143952,C#;Java;JavaScript;Objective-C
170,143952,C#;Go;Java;Python;SQL;Bash/Shell
171,143952,JavaScript;SQL;HTML;CSS;Bash/Shell
172,143952,C#;Go;Python
173,143952,C++;C#
174,143952,C;C++;JavaScript;Objective-C;Python;SQL;Swift;Bash/Shell
175,143952,Java;JavaScript;R;SQL;HTML;CSS
176,143952,Java;JavaScript;Ruby;Kotlin;HTML
177,143952,Java;JavaScript;Lua;PHP;Python;R;SQL
178,143952,C#;SQL;HTML;CSS
179,143952,C#;JavaScript;SQL;HTML;CSS
180,143952,Python;R;SQL;Visual Basic 6;Cobol;HTML;CSS
181,143952,C;C#;Erlang;Groovy;Java;JavaScript;Objective-C;Perl;Python;SQL;CSS;Bash/Shell
182,143500,C#;JavaScript;SQL;VB.NET;HTML;CSS
183,143500,C++;Perl;Python;Bash/Shell
184,143000,Java;SQL;Kotlin
185,143000,C#;Go;JavaScript;Python;SQL;VBA;VB.NET;HTML;CSS
186,143000,Java;JavaScript;Perl;PHP;Python;Ruby;SQL;HTML;CSS;Bash/Shell
187,143000,Assembly;C;C++;Java;JavaScript;Lua;Objective-C;Perl;Python;Ruby;Swift;HTML;CSS;Bash/Shell
188,143000,PHP
189,143000,Go;Java;JavaScript;Python;Ruby;SQL;HTML;CSS;Bash/Shell
190,143000,CoffeeScript;Go;JavaScript;Objective-C;Scala;Swift;HTML;CSS;Bash/Shell
191,143000,Java;JavaScript;Objective-C;Swift;Kotlin;HTML;CSS;Bash/Shell
192,143000,JavaScript;Python;Rust;Scala;SQL;HTML;CSS;Bash/Shell
193,143000,Go;Python
194,143000,JavaScript;Python;SQL;HTML;CSS;Bash/Shell
195,143000,JavaScript;Perl;PHP;Python;SQL;HTML;CSS;Bash/Shell
196,143000,Java;JavaScript;HTML;Bash/Shell
197,143000,JavaScript;Perl;Python;SQL;HTML;CSS;Bash/Shell
198,143000,CoffeeScript;Java;JavaScript;Objective-C;R;Swift;HTML;CSS;Bash/Shell
199,142945,C;C++;C#;Objective-C;Python;VBA;Bash/Shell
200,142500,Java;JavaScript;Perl;SQL;TypeScript;Delphi/Object Pascal;HTML;CSS;Bash/Shell
201,125000,Java;JavaScript;Python;HTML
202,125000,C#;JavaScript;Lua;SQL;HTML;CSS
203,125000,JavaScript;Perl;Python;R;Scala;SQL;HTML;CSS;Bash/Shell
204,125000,Erlang;Go;Java;JavaScript;Python;SQL;Swift;HTML;CSS;Bash/Shell
205,125000,Java;JavaScript;SQL;VBA;HTML;CSS;Bash/Shell
206,125000,C++;C#;JavaScript;Objective-C;PHP;Python;Ruby;SQL;Swift;HTML;CSS;Bash/Shell
207,125000,C#;JavaScript;SQL;HTML;CSS;Bash/Shell
208,125000,C#;Groovy;JavaScript;PHP;Python;Ruby;SQL;TypeScript;VB.NET;HTML;Bash/Shell
209,125000,JavaScript;PHP;HTML;CSS
210,125000,C;C++;C#;Java;JavaScript;Lua;Python;SQL;TypeScript;VB.NET;Visual Basic 6;HTML;CSS;Bash/Shell
211,125000,JavaScript;Python;SQL
212,125000,Assembly;C;C++;C#;JavaScript;Python;Rust;SQL;HTML;CSS;Bash/Shell
213,125000,C#;SQL;TypeScript
214,125000,C#;Erlang;Go;Java;JavaScript;Python;Scala;SQL;VB.NET;Kotlin;HTML;CSS;Bash/Shell
215,125000,Java;JavaScript;Python;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell
216,125000,C++;JavaScript;Objective-C;PHP;Python;Swift;Bash/Shell
217,125000,C;C++;Haskell;JavaScript;Julia;PHP;Python;R;SQL;HTML;CSS;Bash/Shell
218,125000,C++;C#;JavaScript;SQL;TypeScript;VB.NET;HTML;CSS
219,125000,Groovy;Java;JavaScript;Python;SQL;TypeScript;HTML;CSS;Bash/Shell
220,125000,JavaScript;Python;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell
221,125000,JavaScript;SQL;TypeScript;Ocaml
222,125000,C;Java;JavaScript;VBA;HTML;CSS
223,125000,C++;Groovy;Java;JavaScript;HTML;CSS;Bash/Shell
224,125000,C#;JavaScript;Ruby;SQL;Swift;HTML;CSS;Bash/Shell
225,125000,C#;F#;JavaScript;SQL;HTML;CSS
226,125000,C#;Java;SQL;HTML
227,125000,Java;JavaScript;Lua;PHP;Python;SQL;VBA;HTML;CSS;Bash/Shell
228,125000,Groovy;Haskell;Java;JavaScript;Python;R;SQL;TypeScript;HTML;CSS;Bash/Shell
229,125000,Java;JavaScript;Ruby;HTML;CSS
230,125000,CoffeeScript;Go;Java;JavaScript;Objective-C;Scala;SQL;Swift;Kotlin;HTML;CSS;Bash/Shell
231,125000,Assembly;C;C++;C#;Groovy;Java;Python;Kotlin
232,125000,CoffeeScript;Go;Java;JavaScript;Python;Ruby;SQL;TypeScript;HTML;CSS
233,125000,C++;C#;Java;JavaScript;R;SQL
234,125000,Python;HTML;CSS;Bash/Shell
235,125000,Java;JavaScript;HTML;CSS
236,125000,CoffeeScript;Go;Java;JavaScript;PHP;Python;Scala;SQL;TypeScript;Ocaml;HTML;CSS;Bash/Shell
237,125000,C#;JavaScript;Perl;SQL;TypeScript;VBA;HTML;CSS;Bash/Shell
238,125000,Groovy;Java;JavaScript;SQL;CSS;Bash/Shell
239,125000,C#;JavaScript;PHP;Ruby;SQL;TypeScript;VBA;VB.NET;Visual Basic 6;HTML;CSS
240,125000,C#;JavaScript;TypeScript
241,125000,C#;JavaScript;PHP;SQL;TypeScript;HTML;CSS
242,125000,C#;Java;Ruby;Scala;SQL;Kotlin;Bash/Shell
243,125000,Groovy;Java;Python;SQL;Bash/Shell
244,125000,PHP;SQL;HTML;CSS;Bash/Shell
245,125000,C#;JavaScript;Lua;Python;HTML;CSS
246,125000,Java;SQL;TypeScript;HTML;CSS;Bash/Shell
247,125000,SQL;VB.NET;HTML
248,125000,CoffeeScript;JavaScript;Python;Ruby;SQL;HTML;CSS;Bash/Shell
249,125000,JavaScript;SQL;HTML;CSS
250,125000,C#;JavaScript;SQL;TypeScript;HTML;CSS
251,125000,C#;JavaScript;SQL;HTML;CSS
252,125000,Java;JavaScript;HTML;CSS;Bash/Shell
253,125000,JavaScript;Python;SQL;HTML;CSS;Bash/Shell
254,125000,JavaScript;HTML;CSS
255,125000,C;Java;Objective-C;Swift;Bash/Shell
256,125000,Assembly;Go;PHP;SQL;HTML;CSS;Bash/Shell
257,125000,C;C++;Lua;Objective-C;Python;R;Swift;HTML;CSS;Bash/Shell
258,125000,Go;JavaScript;Python
259,125000,Objective-C;Ruby;Swift
260,125000,F#;Haskell;Python;Rust;HTML;CSS
261,125000,C++;JavaScript;Python;Ruby;SQL;HTML;CSS;Bash/Shell
262,125000,C#;JavaScript;SQL;TypeScript;HTML
263,125000,Assembly;C;C++;C#;SQL;VBA;Bash/Shell
264,125000,Java;JavaScript;TypeScript;HTML;CSS
265,125000,Go;Haskell;Swift
266,125000,Go;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell
267,125000,C;C++;Java;JavaScript;Python;SQL;Bash/Shell
268,125000,Go;Java;PHP;Python;SQL;Bash/Shell
269,125000,Clojure;Haskell;Python;Scala;SQL;TypeScript;HTML;CSS;Bash/Shell
270,125000,Groovy;Java;JavaScript;SQL;HTML;CSS;Bash/Shell
271,125000,C;Objective-C;PHP;Ruby;Swift;Bash/Shell
272,125000,C#;SQL;HTML;CSS
273,125000,JavaScript;Python;Rust;HTML;CSS;Bash/Shell
274,125000,C#;SQL
275,125000,C#;JavaScript;SQL;HTML;CSS
276,125000,C++;C#;F#;Java;JavaScript;SQL;TypeScript;HTML;CSS
277,125000,C;C++;F#;Go;PHP;Python;Bash/Shell
278,125000,Groovy;Java;JavaScript;SQL;CSS
279,125000,C#
280,125000,JavaScript;Julia;Perl;PHP;Python;SQL
281,125000,JavaScript;Python;Ruby;HTML;CSS
282,125000,Java;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell
283,125000,Java;Objective-C;Swift
284,125000,C#;F#;Java;Objective-C;TypeScript
285,125000,Assembly;C;C++;C#;Haskell;Java;Matlab;Bash/Shell
286,125000,Java;PHP;Python;SQL;HTML;CSS
287,125000,Assembly;C;C#;Haskell;Java;JavaScript;Matlab;Python;SQL;Swift
288,124808,JavaScript;Python;R;HTML;CSS
289,124808,Clojure;Groovy;Java;JavaScript;SQL;TypeScript;Kotlin;HTML;CSS
290,124808,Java;JavaScript;Objective-C;PHP;Python;Ruby;Swift;HTML;CSS;Bash/Shell
291,124800,C++;C#;JavaScript;Python;SQL;HTML;CSS;Bash/Shell
292,124760,Go;Java;JavaScript;Python;Ruby;Scala;SQL;Bash/Shell
293,124500,JavaScript;Perl;SQL;HTML;CSS;Bash/Shell
294,124243,C;C++;JavaScript;Python
295,124243,JavaScript;Python;SQL;HTML;CSS;Bash/Shell
296,124000,C;Go;Java;Kotlin;Bash/Shell
297,124000,Java
298,124000,Go;Java;JavaScript;Ruby;SQL;HTML;CSS;Bash/Shell
299,124000,Clojure;JavaScript;Python;SQL;HTML;CSS;Bash/Shell
300,124000,Groovy;Java;JavaScript;Python;Scala;SQL;HTML;CSS;Bash/Shell
